no_topics,min_df,max_df,alpha,eta,c_v
13.0,0.01,0.22,0.05,0.27,0.3366096500199293
2.0,0.06,0.2,0.21,0.09,0.2404169355920036
7.0,0.07,0.12,0.15,0.29,0.2794703627875967
7.0,0.05,0.19,0.29,0.1,0.3053867434332139
5.0,0.04,0.45,0.45,0.28,0.28606020881680116
14.0,0.02,0.17,0.25,0.11,0.33359368967426545
8.0,0.05,0.45,0.18,0.3,0.3432486860756393
6.0,0.05,0.14,0.12,0.27,0.3094728597960951
12.0,0.1,0.25,0.45,0.21,0.28985616827088223
10.0,0.09,0.27,0.17,0.02,0.30774884006475145
9.0,0.04,0.22,0.23,0.14,0.32731139629215206
6.0,0.09,0.35000000000000003,0.2,0.05,0.30448375183387205
14.0,0.03,0.45,0.06,0.21,0.3427457506830132
13.0,0.1,0.46,0.01,0.21,0.3376575431834255
7.0,0.02,0.32,0.34,0.17,0.3327730451177665
6.0,0.05,0.38,0.13,0.2,0.3345970332455757
12.0,0.03,0.21,0.35000000000000003,0.28,0.3165929526028161
4.0,0.07,0.48,0.19,0.1,0.3271876131696307
11.0,0.1,0.42,0.13,0.15,0.32261748229099463
7.0,0.1,0.45,0.05,0.25,0.33770632293200054
7.0,0.06,0.14,0.28,0.26,0.3040054192893482
2.0,0.03,0.5,0.33,0.06,0.3153899264460265
15.0,0.09,0.14,0.21,0.09,0.2536278506675043
2.0,0.01,0.43,0.31,0.11,0.29467784593134516
4.0,0.02,0.3,0.26,0.29,0.2903261846515368
4.0,0.06,0.43,0.4,0.07,0.32590660000450955
10.0,0.09,0.5,0.47000000000000003,0.26,0.32974593104613154
12.0,0.08,0.19,0.34,0.21,0.27683240350738625
13.0,0.1,0.28,0.37,0.06,0.291302716021719
15.0,0.01,0.43,0.06,0.28,0.32418548514315854
11.0,0.08,0.29,0.06,0.21,0.32835296507271255
3.0,0.03,0.3,0.16,0.04,0.28553346142034525
4.0,0.01,0.43,0.46,0.16,0.3012123719381469
6.0,0.07,0.2,0.36,0.07,0.342819086461307
9.0,0.06,0.19,0.32,0.29,0.29727109864878587
4.0,0.04,0.29,0.41000000000000003,0.08,0.3224645169277945
12.0,0.01,0.45,0.46,0.07,0.3356351257765156
9.0,0.07,0.35000000000000003,0.21,0.28,0.3162535266685935
15.0,0.01,0.16,0.21,0.09,0.33967770695514077
14.0,0.01,0.14,0.29,0.15,0.31388290442557365
4.0,0.02,0.28,0.14,0.2,0.2986364116951262
13.0,0.08,0.15,0.15,0.2,0.28878831667310556
13.0,0.09,0.3,0.03,0.23,0.32230610190697817
3.0,0.04,0.22,0.09,0.14,0.25194027625626964
8.0,0.03,0.33,0.22,0.28,0.3338447264901381
4.0,0.05,0.23,0.41000000000000003,0.22,0.32344003759370377
10.0,0.03,0.26,0.04,0.17,0.35754005887866835
3.0,0.04,0.43,0.02,0.08,0.3012371880984936
15.0,0.09,0.44,0.24,0.21,0.31517426303655455
15.0,0.03,0.3,0.35000000000000003,0.09,0.33299907244456645
11.0,0.09,0.45,0.49,0.27,0.3410939141409278
10.0,0.08,0.36,0.06,0.01,0.32754747146694646
7.0,0.07,0.44,0.32,0.1,0.2951029749731999
9.0,0.08,0.25,0.39,0.3,0.30911069666417174
15.0,0.04,0.28,0.16,0.11,0.3179556100331478
15.0,0.08,0.5,0.49,0.2,0.3300952708648807
12.0,0.05,0.39,0.07,0.25,0.30324424587659876
15.0,0.06,0.42,0.16,0.03,0.33601504468215376
10.0,0.07,0.45,0.09,0.21,0.3394341244677374
8.0,0.03,0.31,0.36,0.29,0.33094811569928384
15.0,0.01,0.13,0.25,0.19,0.31973774884996436
7.0,0.08,0.15,0.42,0.05,0.26275976789425187
2.0,0.09,0.23,0.26,0.01,0.27527170852766414
6.0,0.07,0.21,0.02,0.04,0.309084513944349
3.0,0.06,0.13,0.34,0.09,0.2564734892622697
14.0,0.07,0.41000000000000003,0.19,0.03,0.32492771130189446
12.0,0.09,0.46,0.07,0.15,0.33396239206677714
4.0,0.01,0.29,0.26,0.03,0.2772506375070556
4.0,0.04,0.44,0.12,0.08,0.3095986667193669
13.0,0.09,0.38,0.28,0.03,0.29880081701167904
12.0,0.06,0.13,0.08,0.05,0.30396249208136117
10.0,0.08,0.14,0.37,0.17,0.2763936893984611
5.0,0.08,0.21,0.41000000000000003,0.12,0.3166648364602427
3.0,0.08,0.47000000000000003,0.31,0.03,0.36105382152553395
13.0,0.1,0.33,0.39,0.15,0.28786904547912495
9.0,0.03,0.37,0.31,0.04,0.3351301221992342
2.0,0.01,0.28,0.12,0.18,0.2565623556818162
7.0,0.05,0.35000000000000003,0.48,0.02,0.3296879053965748
3.0,0.1,0.45,0.06,0.19,0.30577949679109706
4.0,0.03,0.49,0.4,0.08,0.33162115777222834
5.0,0.04,0.42,0.46,0.08,0.3209390494655186
9.0,0.05,0.31,0.09,0.2,0.34908689481125543
10.0,0.03,0.46,0.33,0.05,0.37977952433501244
4.0,0.03,0.32,0.45,0.2,0.31276529594337754
4.0,0.04,0.37,0.28,0.11,0.33209047834678296
13.0,0.1,0.2,0.14,0.24,0.2974303326566573
11.0,0.04,0.34,0.32,0.21,0.3211218327547907
6.0,0.09,0.28,0.1,0.12,0.32875504687468354
15.0,0.07,0.21,0.18,0.11,0.3249450719936893
4.0,0.02,0.36,0.25,0.28,0.3122492067398219
5.0,0.05,0.18,0.5,0.19,0.30741915747098203
8.0,0.02,0.17,0.22,0.21,0.30254243263118896
9.0,0.08,0.25,0.27,0.27,0.3126773675480131
3.0,0.03,0.29,0.36,0.29,0.2909460076529364
9.0,0.07,0.17,0.13,0.23,0.3276248702220317
10.0,0.08,0.14,0.06,0.04,0.28798560011236396
2.0,0.03,0.3,0.4,0.24,0.2698448064910288
12.0,0.08,0.31,0.38,0.22,0.31477086603421517
9.0,0.08,0.42,0.08,0.23,0.31215100652936034
9.0,0.07,0.39,0.4,0.26,0.31865945923996186
12.0,0.02,0.33,0.4,0.27,0.3043686008334486
15.0,0.01,0.5,0.35000000000000003,0.09,0.33564210957605306
6.0,0.03,0.22,0.14,0.07,0.29710003504635646
10.0,0.07,0.2,0.5,0.21,0.3200784181860185
13.0,0.09,0.28,0.48,0.1,0.3031027136688888
14.0,0.05,0.29,0.46,0.27,0.317826978815886
6.0,0.08,0.28,0.06,0.11,0.3243179169823272
6.0,0.1,0.3,0.44,0.18,0.2978427051441246
9.0,0.03,0.43,0.32,0.23,0.33145399136909215
10.0,0.07,0.37,0.3,0.12,0.3163730028030235
9.0,0.06,0.38,0.06,0.24,0.331229186396034
2.0,0.01,0.43,0.43,0.22,0.2874642284830035
12.0,0.08,0.44,0.01,0.17,0.3224079721810756
6.0,0.07,0.22,0.01,0.22,0.31070010547255833
2.0,0.01,0.2,0.4,0.29,0.26600236843135744
11.0,0.09,0.38,0.01,0.05,0.31225732329012346
5.0,0.1,0.31,0.07,0.11,0.30179316773819254
15.0,0.01,0.14,0.48,0.07,0.3037795392262399
7.0,0.03,0.24,0.38,0.03,0.2923091138218569
15.0,0.1,0.39,0.01,0.09,0.32350628246974683
6.0,0.06,0.36,0.24,0.1,0.3216388903734723
10.0,0.01,0.16,0.43,0.04,0.34424192293884387
12.0,0.08,0.27,0.03,0.14,0.3070007141464624
9.0,0.1,0.49,0.11,0.19,0.3303109238180107
10.0,0.07,0.37,0.32,0.14,0.3144068538993695
4.0,0.09,0.11,0.4,0.05,0.20386977022907238
2.0,0.02,0.46,0.34,0.18,0.30726317015326843
2.0,0.08,0.23,0.1,0.18,0.26724588350553014
13.0,0.01,0.21,0.37,0.26,0.33253214779084045
13.0,0.09,0.2,0.1,0.25,0.2962708621655587
15.0,0.07,0.29,0.05,0.16,0.3335159337910058
9.0,0.05,0.36,0.05,0.29,0.3510482031351888
8.0,0.02,0.14,0.42,0.21,0.32883791700184695
11.0,0.07,0.27,0.2,0.13,0.3060316589529046
8.0,0.02,0.18,0.25,0.15,0.3236667739623841
8.0,0.09,0.14,0.22,0.23,0.2582691387423217
6.0,0.09,0.2,0.18,0.25,0.3077109568459105
12.0,0.09,0.19,0.22,0.16,0.2918957690253385
